time,open,high,low,close
2018-08-30T17:00:00Z,111.234,111.268,111.186,111.201
2018-08-30T18:00:00Z,111.201,111.214,110.994,111.039
2018-08-30T19:00:00Z,111.039,111.068,110.988,111.008
2018-08-30T20:00:00Z,111.008,111.071,110.953,110.984
2018-08-30T21:00:00Z,110.984,111.071,110.957,111.02
2018-08-30T22:00:00Z,111.02,111.052,110.981,111.018
2018-08-30T23:00:00Z,111.018,111.044,110.988,111.011
2018-08-31T00:00:00Z,111.011,111.019,110.881,110.962
2018-08-31T01:00:00Z,110.962,111.069,110.957,110.991
2018-08-31T02:00:00Z,110.991,111.05,110.931,111.048
2018-08-31T03:00:00Z,111.048,111.064,110.979,110.999
2018-08-31T04:00:00Z,110.999,111.044,110.947,111.01
2018-08-31T05:00:00Z,111.01,111.135,110.966,110.988
2018-08-31T06:00:00Z,110.988,111.028,110.948,111.004
2018-08-31T07:00:00Z,111.004,111.004,110.695,110.802
2018-08-31T08:00:00Z,110.802,110.805,110.685,110.785
2018-08-31T09:00:00Z,110.785,110.859,110.751,110.821
2018-08-31T10:00:00Z,110.821,110.823,110.746,110.76
2018-08-31T11:00:00Z,110.76,110.858,110.759,110.777
2018-08-31T12:00:00Z,110.777,110.82,110.725,110.776
2018-08-31T13:00:00Z,110.776,110.856,110.692,110.801
2018-08-31T14:00:00Z,110.801,110.899,110.778,110.878
2018-08-31T15:00:00Z,110.878,110.994,110.819,110.977
2018-08-31T16:00:00Z,110.977,111.1,110.946,111.078
2018-08-31T17:00:00Z,111.078,111.09,110.939,110.965
2018-08-31T18:00:00Z,110.965,111.016,110.916,111.002
2018-08-31T19:00:00Z,111.002,111.131,110.988,111.081
2018-08-31T20:00:00Z,111.081,111.133,111.047,111.047
2018-09-02T21:00:00Z,111.091,111.136,111.047,111.087
2018-09-02T22:00:00Z,111.087,111.186,111.055,111.182
2018-09-02T23:00:00Z,111.182,111.188,111.112,111.143
2018-09-03T00:00:00Z,111.143,111.151,110.975,110.993
2018-09-03T01:00:00Z,110.993,111.036,110.922,111.024
2018-09-03T02:00:00Z,111.024,111.029,110.882,110.903
2018-09-03T03:00:00Z,110.903,110.929,110.85,110.896
2018-09-03T04:00:00Z,110.896,110.936,110.891,110.909
2018-09-03T05:00:00Z,110.909,110.973,110.89,110.915
2018-09-03T06:00:00Z,110.915,110.96,110.885,110.914
2018-09-03T07:00:00Z,110.914,110.979,110.896,110.971
2018-09-03T08:00:00Z,110.971,111.034,110.962,111.012
2018-09-03T09:00:00Z,111.012,111.038,110.988,111.037
2018-09-03T10:00:00Z,111.037,111.123,111.02,111.075
2018-09-03T11:00:00Z,111.075,111.134,111.074,111.123
2018-09-03T12:00:00Z,111.123,111.174,111.117,111.121
2018-09-03T13:00:00Z,111.121,111.152,111.096,111.124
2018-09-03T14:00:00Z,111.124,111.138,111.02,111.022
2018-09-03T15:00:00Z,111.022,111.1,111.021,111.068
2018-09-03T16:00:00Z,111.068,111.111,111.027,111.098
2018-09-03T17:00:00Z,111.098,111.098,111.043,111.079
2018-09-03T18:00:00Z,111.079,111.119,111.072,111.099
2018-09-03T19:00:00Z,111.099,111.125,111.047,111.101
2018-09-03T20:00:00Z,111.101,111.133,111.025,111.035
2018-09-03T21:00:00Z,111.035,111.1,111.01,111.073
2018-09-03T22:00:00Z,111.073,111.107,111.044,111.09
2018-09-03T23:00:00Z,111.09,111.103,111.067,111.084
2018-09-04T00:00:00Z,111.084,111.091,110.9,111.07
2018-09-04T01:00:00Z,111.07,111.151,110.991,111.139
2018-09-04T02:00:00Z,111.139,111.154,111.094,111.136
2018-09-04T03:00:00Z,111.136,111.14,111.1,111.108
2018-09-04T04:00:00Z,111.108,111.176,111.056,111.141
2018-09-04T05:00:00Z,111.141,111.215,111.116,111.206
2018-09-04T06:00:00Z,111.206,111.398,111.206,111.373
2018-09-04T07:00:00Z,111.373,111.464,111.345,111.456
2018-09-04T08:00:00Z,111.456,111.533,111.429,111.446
2018-09-04T09:00:00Z,111.446,111.447,111.357,111.381
2018-09-04T10:00:00Z,111.381,111.451,111.354,111.426
2018-09-04T11:00:00Z,111.426,111.441,111.198,111.241
2018-09-04T12:00:00Z,111.241,111.323,111.194,111.319
2018-09-04T13:00:00Z,111.319,111.426,111.146,111.234
2018-09-04T14:00:00Z,111.234,111.497,111.234,111.337
2018-09-04T15:00:00Z,111.337,111.491,111.329,111.437
2018-09-04T16:00:00Z,111.437,111.506,111.327,111.398
2018-09-04T17:00:00Z,111.398,111.503,111.37,111.474
2018-09-04T18:00:00Z,111.474,111.513,111.451,111.482
2018-09-04T19:00:00Z,111.482,111.51,111.45,111.475
2018-09-04T20:00:00Z,111.475,111.489,111.428,111.439
2018-09-04T21:00:00Z,111.439,111.472,111.358,111.439
2018-09-04T22:00:00Z,111.439,111.499,111.369,111.463
2018-09-04T23:00:00Z,111.463,111.491,111.451,111.464
2018-09-05T00:00:00Z,111.464,111.647,111.4,111.637
2018-09-05T01:00:00Z,111.637,111.714,111.562,111.563
2018-09-05T02:00:00Z,111.563,111.6,111.491,111.505
2018-09-05T03:00:00Z,111.505,111.572,111.496,111.536
2018-09-05T04:00:00Z,111.536,111.565,111.522,111.545
2018-09-05T05:00:00Z,111.545,111.548,111.438,111.496
2018-09-05T06:00:00Z,111.496,111.543,111.4,111.439
2018-09-05T07:00:00Z,111.439,111.487,111.405,111.456
2018-09-05T08:00:00Z,111.456,111.525,111.453,111.519
2018-09-05T09:00:00Z,111.519,111.592,111.506,111.567
2018-09-05T10:00:00Z,111.567,111.643,111.557,111.574
2018-09-05T11:00:00Z,111.574,111.626,111.546,111.6
2018-09-05T12:00:00Z,111.6,111.601,111.453,111.47
2018-09-05T13:00:00Z,111.47,111.758,111.466,111.731
2018-09-05T14:00:00Z,111.731,111.752,111.516,111.575
2018-09-05T15:00:00Z,111.575,111.607,111.46,111.476
2018-09-05T16:00:00Z,111.476,111.557,111.432,111.487
2018-09-05T17:00:00Z,111.487,111.583,111.482,111.568
2018-09-05T18:00:00Z,111.568,111.568,111.491,111.519
2018-09-05T19:00:00Z,111.519,111.549,111.476,111.512
2018-09-05T20:00:00Z,111.512,111.547,111.505,111.524
2018-09-05T21:00:00Z,111.524,111.532,111.468,111.491
2018-09-05T22:00:00Z,111.491,111.514,111.455,111.464
2018-09-05T23:00:00Z,111.464,111.513,111.425,111.45
2018-09-06T00:00:00Z,111.45,111.457,111.233,111.271
2018-09-06T01:00:00Z,111.271,111.319,111.172,111.314
2018-09-06T02:00:00Z,111.314,111.34,111.266,111.286
2018-09-06T03:00:00Z,111.286,111.375,111.277,111.358
2018-09-06T04:00:00Z,111.358,111.423,111.336,111.373
2018-09-06T05:00:00Z,111.373,111.43,111.331,111.331
2018-09-06T06:00:00Z,111.331,111.415,111.311,111.375
